shipper_name,recipient_name,count
"C11-0000282-LIC (Southern California Collective, A California Corporation)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000285-LIC (POINT BAY DISTRIBUTORS, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
C11-0000286-LIC (KALI BOTANICALS),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",4
"C11-0000297-LIC (MARYS TECH CA, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",8
C11-0000302-LIC (THE HIGHER PATH PATIENTS' ASSOCIATION),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",8
C11-0000305-LIC (Euphoric Life Inc),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
C11-0000305-LIC (Euphoric Life Inc),C11-0000156-LIC (HTC SOLUTIONS INC.),2
"C11-0000306-LIC (GP OPERATIONS, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",6
C11-0000308-LIC (CMCD CONSULTING LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
C11-0000309-LIC (HUMBOLDT DISTRIBUTION COMPANY LLC),"C11-0000425-LIC (GREENLEAF PROCESSORS, INC.)",2
C11-0000309-LIC (HUMBOLDT DISTRIBUTION COMPANY LLC),C11-0001267-LIC (Commerce on Demand LLC),4
C11-0000314-LIC (Med For America Inc.),C11-0001267-LIC (Commerce on Demand LLC),5
C11-0000314-LIC (Med For America Inc.),"CDPH-10003525 (Med For America, Inc.)",64
C11-0000315-LIC (CANNAFUSIONS),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",4
C11-0000315-LIC (CANNAFUSIONS),CDPH-10003462 (Baldwin Park TALE Corporation),1
"C11-0000317-LIC (BOO KU CC, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",4
"C11-0000319-LIC (LONG BEACH DISTRIBUTION SOLUTIONS, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
"C11-0000320-LIC (PURE VAPE, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",5
"C11-0000320-LIC (PURE VAPE, INC.)",C11-0000314-LIC (Med For America Inc.),1
C11-0000335-LIC (GB2 LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
C11-0000335-LIC (GB2 LLC),C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),5
"C11-0000337-LIC (ASV EQ 1, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",10
"C11-0000340-LIC (GARDEN OF WEEDEN, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",19
"C11-0000340-LIC (GARDEN OF WEEDEN, INC.)",C11-0000834-LIC (KORBEN LABS LLC),3
"C11-0000340-LIC (GARDEN OF WEEDEN, INC.)",C11-0001267-LIC (Commerce on Demand LLC),2
C11-0000349-LIC (MISSION HILLS PATIENTS COLLECTIVE),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",17
C11-0000349-LIC (MISSION HILLS PATIENTS COLLECTIVE),C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),5
C11-0000349-LIC (MISSION HILLS PATIENTS COLLECTIVE),C11-0001267-LIC (Commerce on Demand LLC),1
"C11-0000353-LIC (PACAFI, INC)",C11-0000314-LIC (Med For America Inc.),2
"C11-0000357-LIC (VALLEY HOLISTIC CAREGIVERS, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
C11-0000367-LIC (MAR SR LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
C11-0000368-LIC (PERFECT KUSH COOPERATIVE CORPORATION),C11-0000156-LIC (HTC SOLUTIONS INC.),1
C11-0000369-LIC (LB ATLANTIS),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",5
"C11-0000370-LIC (SALINAS SPENCE ROAD CARE, INC.)",CDPH-10003462 (Baldwin Park TALE Corporation),3
"C11-0000385-LIC (ANAT GROUP, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",14
"C11-0000385-LIC (ANAT GROUP, INC.)",C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),4
"C11-0000385-LIC (ANAT GROUP, INC.)",CDPH-10003462 (Baldwin Park TALE Corporation),1
"C11-0000408-LIC (MAGNOLIA EXTRACTS, LLC)",CDPH-10003462 (Baldwin Park TALE Corporation),1
C11-0000420-LIC (LMG LOGISTICS INC.),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",9
C11-0000434-LIC (CWG BOTANICALS INC.),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
"C11-0000436-LIC (ECHSEN INDUSTRIES, LLC)",C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),1
"C11-0000436-LIC (ECHSEN INDUSTRIES, LLC)",C9-0000320-LIC (IN DA CUT LLC),1
"C11-0000440-LIC (TOP HAT DERBY, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000460-LIC (66 MAIN GROUP, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000466-LIC (Powerhouse Distribution, LLC)",C9-0000320-LIC (IN DA CUT LLC),1
"C11-0000468-LIC (LANCASTER STORAGE PROPERTIES, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000468-LIC (LANCASTER STORAGE PROPERTIES, LLC)",C9-0000320-LIC (IN DA CUT LLC),3
"C11-0000470-LIC (EVERGREEN MANAGEMENT SERVICES, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000470-LIC (EVERGREEN MANAGEMENT SERVICES, LLC)",C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),6
"C11-0000470-LIC (EVERGREEN MANAGEMENT SERVICES, LLC)",C9-0000320-LIC (IN DA CUT LLC),1
"C11-0000486-LIC (RJRC, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",27
C11-0000497-LIC (ZASP),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",19
C11-0000497-LIC (ZASP),C11-0000834-LIC (KORBEN LABS LLC),1
C11-0000497-LIC (ZASP),C9-0000320-LIC (IN DA CUT LLC),4
C11-0000499-LIC (BLUNT BROTHERS),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000502-LIC (BRAND NEW CONCEPTS, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000512-LIC (WCC MGMT, LLC)",C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),7
"C11-0000512-LIC (WCC MGMT, LLC)",C11-0001267-LIC (Commerce on Demand LLC),5
"C11-0000512-LIC (WCC MGMT, LLC)",C9-0000320-LIC (IN DA CUT LLC),1
C11-0000518-LIC (TORREN COOKE),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
C11-0000522-LIC (Spectrum Growers LLc),C11-0000156-LIC (HTC SOLUTIONS INC.),7
C11-0000527-LIC (GOVERDE INCUBATOR LLC),C11-0001267-LIC (Commerce on Demand LLC),1
C11-0000536-LIC (SUBLIME MACHINING INC.),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",4
C11-0000536-LIC (SUBLIME MACHINING INC.),C11-0001267-LIC (Commerce on Demand LLC),1
C11-0000536-LIC (SUBLIME MACHINING INC.),C9-0000320-LIC (IN DA CUT LLC),1
"C11-0000546-LIC (FREE-MAN THINK, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
C11-0000551-LIC (Relief CCR),C11-0000156-LIC (HTC SOLUTIONS INC.),3
C11-0000559-LIC (CONNECTED MANAGEMENT LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",5
C11-0000559-LIC (CONNECTED MANAGEMENT LLC),"CDPH-10003556 (WTO Essentials, Inc)",1
"C11-0000570-LIC (VEDA DISTRIBUTION, LLC)",C11-0000314-LIC (Med For America Inc.),10
"C11-0000571-LIC (THE LITTLE COTTAGE CAREGIVERS, LLC)",C11-0000314-LIC (Med For America Inc.),1
"C11-0000572-LIC (Gold Process, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",7
"C11-0000574-LIC (MATADA, LLC)",C11-0000314-LIC (Med For America Inc.),7
"C11-0000578-LIC (9701 ENTERPRISES, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",6
"C11-0000578-LIC (9701 ENTERPRISES, INC.)",C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),11
"C11-0000578-LIC (9701 ENTERPRISES, INC.)",C11-0001267-LIC (Commerce on Demand LLC),4
C11-0000582-LIC (VARAVO),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",5
C11-0000582-LIC (VARAVO),C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),2
"C11-0000584-LIC (1346 LA, LLC)",C9-0000320-LIC (IN DA CUT LLC),1
C11-0000587-LIC (GOLD COAST ENTERPRISES),C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),1
"C11-0000597-LIC (HIGH TIDE MFG, INC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",4
C11-0000599-LIC (ONE UP MONTEBELLO LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
C11-0000603-LIC (VO LEASING CORP.),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
C11-0000612-LIC (JAYNE HEALTH LLC),C11-0000314-LIC (Med For America Inc.),1
C11-0000620-LIC (IRONWORKS COLLECTIVE INC.),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",33
C11-0000620-LIC (IRONWORKS COLLECTIVE INC.),C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),2
C11-0000620-LIC (IRONWORKS COLLECTIVE INC.),C11-0001267-LIC (Commerce on Demand LLC),3
C11-0000620-LIC (IRONWORKS COLLECTIVE INC.),C9-0000320-LIC (IN DA CUT LLC),3
C11-0000628-LIC (Fields Performance Inc),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",3
"C11-0000660-LIC (KUSH VALLEY COLLECTIVE, INC.)",C11-0000314-LIC (Med For America Inc.),1
"C11-0000661-LIC (CITY COMPASSIONATE CAREGIVERS, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000661-LIC (CITY COMPASSIONATE CAREGIVERS, INC.)",C9-0000320-LIC (IN DA CUT LLC),1
C11-0000667-LIC (GREENFIELD ORGANIX 4TH ST),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
C11-0000677-LIC (WWCMC INC.),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000679-LIC (TAMARACK VALLEY PARTNERS, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",8
"C11-0000679-LIC (TAMARACK VALLEY PARTNERS, LLC)",C9-0000320-LIC (IN DA CUT LLC),1
C11-0000680-LIC (VISTA PRIME MANAGEMENT),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
C11-0000685-LIC (Indus Holding Company),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",11
C11-0000685-LIC (Indus Holding Company),C9-0000320-LIC (IN DA CUT LLC),1
"C11-0000694-LIC (HUNTER PROJECT FACILITIES, LLC)",C9-0000320-LIC (IN DA CUT LLC),1
"C11-0000714-LIC (GRIZZLY PEAK FARMS, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",7
"C11-0000714-LIC (GRIZZLY PEAK FARMS, LLC)",C9-0000320-LIC (IN DA CUT LLC),2
"C11-0000717-LIC (VENICE SHORES MANAGEMENT, LLC)",C11-0000156-LIC (HTC SOLUTIONS INC.),16
C11-0000718-LIC (Bird Valley Organics Inc.),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",9
"C11-0000720-LIC (TREETOP FLYERS COLLECTIVE, INC.)",C11-0000314-LIC (Med For America Inc.),1
C11-0000721-LIC (RDC COLLECTIVE CORP.),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
C11-0000721-LIC (RDC COLLECTIVE CORP.),C11-0000314-LIC (Med For America Inc.),2
C11-0000721-LIC (RDC COLLECTIVE CORP.),C11-0001267-LIC (Commerce on Demand LLC),2
C11-0000733-LIC (HUMBOLDT HARVEST INC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000739-LIC (ADIRA Distribution, Inc.)",C11-0001267-LIC (Commerce on Demand LLC),1
"C11-0000742-LIC (MVN PRODUCTIONS, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
C11-0000748-LIC (REBECCA LOPEZ),C11-0000314-LIC (Med For America Inc.),3
C11-0000751-LIC (ALKHEMIST DM LLC),C11-0000156-LIC (HTC SOLUTIONS INC.),1
"C11-0000760-LIC (GREEN SPECTRUM TRADING, INC.)",CDPH-10003462 (Baldwin Park TALE Corporation),1
"C11-0000782-LIC (BTC VENTURES, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",3
"C11-0000799-LIC (SGBE, INC.)",C11-0001267-LIC (Commerce on Demand LLC),1
C11-0000809-LIC (Town Buds LLC),C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),1
C11-0000816-LIC (CYPRESS MANUFACTURING CO.),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",4
C11-0000816-LIC (CYPRESS MANUFACTURING CO.),C9-0000320-LIC (IN DA CUT LLC),3
